Estacion,Viajes
2,17767
3,15930
4,16628
5,10899
6,8344
8,7039
9,15634
10,10821
11,38121
12,15312
13,10379
14,15237
15,11299
16,23422
17,19400
18,11517
19,12892
20,10925
21,25630
22,14736
23,17345
24,9381
25,12438
26,15502
27,18456
28,17144
29,7986
30,16665
31,7479
32,23071
33,15263
34,26763
35,28743
36,13863
37,8412
38,24966
39,13009
40,14373
41,8614
42,16527
43,9852
44,10627
45,16419
46,11827
47,12694
48,9027
49,15543
50,46814
51,49214
52,42128
53,21799
54,33188
55,9461
56,30932
57,9450
58,28903
59,9139
60,10256
61,12677
62,16377
63,22186
64,26323
65,26824
66,28934
67,14286
68,11351
69,28206
70,18544
71,9976
72,15093
73,23160
74,14301
75,37336
76,8016
77,8963
78,9580
79,16370
80,23997
81,11103
82,14944
83,10342
84,11972
85,22132
86,26203
87,7763
88,9235
91,901
92,1191
93,946
95,912
96,1379
97,397
98,2519
100,2467
101,803
102,2197
103,1355
104,842
105,1426
106,4136
107,263
108,1587
110,1860
111,1663
112,1295
113,593
114,672
115,465
117,3227
118,407
119,930
120,851
125,4110
126,4716
127,3685
128,1970
129,1080
130,5169
131,3663
132,2060
133,6303
134,2859
135,2505
136,2633
137,1812
139,2453
140,5575
141,9344
142,5596
143,6401
144,2244
145,1432
146,1638
147,1198
148,8095
149,2717
150,4220
151,3240
152,3177
153,2729
154,10521
155,9090
156,16464
157,16979
158,12515
159,5518
160,10696
161,10622
162,11428
163,11686
164,4938
165,16414
166,10651
167,4390
168,13943
169,8837
170,11340
171,19702
172,11947
173,26407
174,10411
175,10671
176,8161
177,8307
178,7780
179,11368
180,10880
181,6534
182,16101
183,11034
184,6718
185,4992
186,5964
187,5768
188,14321
189,7724
190,7075
191,10465
192,7134
193,7953
194,27169
195,12507
196,22501
197,12008
198,13646
199,22088
200,11978
201,10014
202,7668
203,11157
204,7344
205,3309
206,5971
207,11132
208,7418
209,3412
210,7532
211,7485
212,4142
213,3163
214,4370
215,2683
216,7397
217,1599
218,1867
219,3699
220,1937
221,3831
222,3948
223,1406
224,6724
225,5008
226,17461
227,7600
228,5055
229,4612
230,7688
231,3916
232,7473
233,13258
234,6280
235,6850
236,7524
237,3404
238,2945
239,1638
240,1126
241,3587
242,2447
243,3980
244,10724
246,7545
247,12472
248,2870
249,9381
250,3884
251,1702
253,85
