Estacion,Viajes
2,3622
3,3298
4,3263
5,2267
6,2053
8,1649
9,3326
10,2293
11,8550
12,3256
13,2177
14,3482
15,2066
16,4819
17,4181
18,2347
19,2292
20,2074
21,5448
22,3038
23,3934
24,1801
25,2561
26,3637
27,4624
28,3436
29,2031
30,3426
31,2331
32,4784
33,3228
34,7178
35,6577
36,3034
37,1869
38,5623
39,2852
40,2800
41,1768
42,3757
43,2114
44,2142
45,3303
46,2545
47,2417
48,1652
49,3236
50,10519
51,13251
52,9050
53,5156
54,7651
55,2255
56,6943
57,2388
58,6457
59,2068
60,1950
61,2435
62,3686
63,4841
64,5008
65,5513
66,6320
67,3351
68,2242
69,5824
70,4005
71,2116
72,3271
73,4475
74,3001
75,7493
76,1777
77,1803
78,2708
79,3888
80,5411
81,2830
82,2885
83,2102
84,2383
85,4917
86,5235
87,1479
88,1797
91,240
92,152
93,209
95,178
96,249
98,515
100,383
101,166
102,413
103,341
104,216
105,282
106,836
107,50
108,288
110,550
111,500
112,346
113,121
114,169
115,69
117,604
118,54
119,221
120,187
125,714
126,876
127,693
128,385
129,236
130,859
131,686
132,378
133,1135
134,616
135,421
136,527
137,316
139,559
140,1227
141,2018
142,1239
143,1353
144,350
145,219
146,325
148,1514
149,633
150,992
151,742
152,790
153,486
154,2037
155,2040
156,3241
157,3484
158,2935
159,1305
160,2432
161,2188
162,3880
163,2420
164,1206
165,3714
166,2133
167,987
168,3050
169,1664
170,2290
171,4061
172,3058
173,5693
174,2331
175,2666
176,1567
177,1621
178,2337
179,2526
180,2301
181,1617
182,3553
183,2080
184,1469
185,1063
186,1069
187,898
188,2842
189,1438
190,1449
191,1646
192,1504
193,1276
194,5717
195,2555
196,4518
197,2600
198,2860
199,4522
200,1933
201,1673
202,1433
203,2361
204,1150
205,647
206,961
207,2129
208,1117
209,533
210,1435
211,1449
212,782
213,538
214,751
215,370
216,1472
217,301
218,476
219,512
220,287
221,773
222,692
223,173
224,1192
225,1109
226,3976
227,1836
228,1309
229,971
230,1818
231,887
232,2109
233,3516
234,1416
235,1372
236,1924
237,689
238,568
239,331
240,295
241,567
242,445
243,787
244,1993
246,2020
247,4270
248,977
249,2070
250,1604
251,651
