Estacion,Viajes
2,2431
3,2031
4,1977
5,1266
6,1387
8,960
9,2175
10,1400
11,4665
12,2227
13,1231
14,1855
15,1490
16,3124
17,2507
18,1389
19,1648
20,1384
21,3197
22,2018
23,2063
24,1296
25,1253
26,1913
27,2168
28,2233
29,959
30,2292
31,1441
32,3095
33,1986
34,3616
35,4053
36,1946
37,1184
38,3455
39,1357
40,2005
41,1128
42,2234
43,1305
44,1321
45,1837
46,1483
47,1490
48,1233
49,1959
50,5978
51,6004
52,5477
53,3016
54,4610
55,1475
56,4660
57,1097
58,3753
59,1363
60,1650
61,1835
62,2028
63,2911
64,3796
65,3203
66,3517
67,1639
68,1358
69,3812
70,2480
71,1089
72,2170
73,3157
74,1797
75,4711
76,958
77,1437
78,1917
79,1923
80,3702
81,1486
82,1763
83,1496
84,1547
85,3080
86,3616
87,799
88,1173
91,91
92,181
93,131
95,96
96,274
97,145
98,344
100,306
101,100
102,240
103,156
104,100
105,74
106,516
107,14
108,237
110,289
111,321
112,209
113,111
114,108
115,76
117,339
118,50
119,105
120,88
125,480
126,444
127,461
128,261
129,143
130,671
131,442
132,305
133,798
134,432
135,266
136,345
137,301
139,330
140,614
141,1219
142,693
143,836
144,292
145,180
146,186
147,323
148,927
149,329
150,565
151,326
152,351
153,330
154,1445
155,1233
156,2170
157,2601
158,1928
159,922
160,1379
161,1419
162,1603
163,1641
164,646
165,1945
166,1410
167,494
168,1550
169,1146
170,1618
171,2286
172,1352
173,3503
174,1407
175,1430
176,970
177,1021
178,1128
179,1587
180,1670
181,1000
182,2028
183,1230
184,669
185,659
186,656
187,720
188,1559
189,914
190,831
191,1364
192,768
193,717
194,2481
195,1388
196,2799
197,1044
198,1431
199,3018
200,1495
201,1003
202,841
203,1249
204,860
205,278
206,846
207,1494
208,824
209,342
210,1006
211,840
212,532
213,375
214,575
215,330
216,725
217,227
218,173
219,549
220,196
221,364
222,470
223,112
224,600
225,702
226,2386
227,1002
228,503
229,709
230,1046
231,501
232,1133
233,1727
234,927
235,788
236,1010
237,429
238,321
239,222
240,161
241,492
242,348
243,466
244,1376
246,867
247,1738
248,450
249,1307
